,expId,Compound,tempNLSDf
1,1,ABT-263 (Navitoclax),2<>27<>73<>65<>59<>49<>49<>43<>37<>36<>21<>18<>24
2,1,Clofarabine,4<>9<>21<>29<>59<>65<>63<>69<>60<>56<>53<>50<>47
3,1,BEZ235 (NVP-BEZ235; Dactolisib),0<>2<>6<>7<>10<>10<>7<>7<>8<>3<>7<>8<>5
4,1,KU-0063794,2<>5<>5<>8<>11<>10<>12<>17<>14<>20<>27<>18<>16
5,1,PD184352 (CI-1040),1<>6<>15<>19<>25<>27<>26<>28<>22<>22<>18<>15<>12
6,1,Temozolomide,3<>9<>15<>26<>29<>38<>25<>23<>31<>21<>24<>21<>16
7,1,Motesanib Diphosphate (AMG-706),3<>8<>12<>17<>18<>26<>22<>19<>20<>26<>17<>14<>16
8,1,Dienogest,4<>11<>15<>18<>34<>32<>30<>24<>24<>23<>23<>19<>14
9,1,STF-62247,1<>39<>47<>49<>30<>24<>16<>14<>11<>11<>10<>9<>9
10,1,Celecoxib,4<>5<>16<>13<>27<>27<>31<>28<>35<>33<>23<>24<>20
11,1,Y-27632 2HCl,1<>3<>3<>15<>21<>22<>22<>20<>15<>21<>16<>12<>11
12,1,Adapalene,3<>4<>10<>12<>20<>22<>23<>26<>16<>17<>13<>14<>12
13,1,Masitinib (AB1010),3<>9<>10<>12<>14<>22<>23<>17<>14<>19<>10<>11<>4
14,1,Budesonide,2<>5<>7<>9<>11<>8<>21<>16<>16<>12<>12<>13<>9
15,1,ZSTK474,2<>11<>15<>26<>25<>30<>22<>19<>19<>15<>13<>10<>9
16,1,Floxuridine,5<>5<>14<>16<>27<>32<>33<>35<>31<>25<>22<>18<>17
17,1,Belinostat (PXD101),3<>4<>15<>20<>30<>38<>34<>35<>39<>42<>38<>35<>29
18,1,Costunolide,3<>3<>13<>17<>23<>17<>20<>14<>16<>19<>15<>13<>10
19,1,LAQ824 (Dacinostat),1<>5<>9<>26<>38<>37<>53<>59<>67<>62<>56<>47<>45
20,1,Flumazenil,0<>11<>10<>17<>21<>23<>17<>32<>20<>18<>24<>16<>19
21,1,GDC-0879,5<>7<>7<>17<>17<>23<>25<>21<>20<>15<>11<>12<>9
22,1,Granisetron HCl,1<>3<>10<>18<>21<>20<>21<>23<>26<>20<>18<>11<>13
23,1,4mu8C,2<>6<>5<>13<>10<>7<>9<>11<>11<>6<>5<>8<>4
24,1,RG2833 (RGFP109),1<>4<>9<>19<>23<>28<>28<>45<>41<>32<>30<>24<>28
25,1,SGX-523,0<>4<>8<>15<>12<>12<>20<>13<>15<>11<>8<>9<>8
26,1,Losartan Potassium (DuP 753),5<>10<>13<>18<>22<>27<>20<>20<>28<>17<>20<>12<>16
