,expId,Compound,tempConfluenceDf
1,1,ABT-263 (Navitoclax),Sytox Green<>36.66372<>114.1681<>531.392<>848.8348<>1024.728<>1104.089<>1136.575<>1151.427<>1194.588<>1215.936<>1241.462<>1253.064
2,1,Clofarabine,Sytox Green<>38.05602<>79.82481<>126.6987<>281.7073<>452.4953<>542.9944<>630.2448<>685.4724<>720.7438<>743.0205<>764.8331<>790.3585
3,1,BEZ235 (NVP-BEZ235; Dactolisib),Sytox Green<>28.30996<>52.44305<>80.75301<>122.0577<>147.5831<>170.3239<>190.7442<>212.5568<>222.3028<>241.7949<>266.3921<>299.8072
4,1,KU-0063794,Sytox Green<>21.3485<>60.33271<>111.8476<>168.0034<>205.1312<>266.3921<>308.1609<>374.991<>420.9367<>484.054<>525.8228<>554.1328
5,1,PD184352 (CI-1040),Sytox Green<>28.30996<>65.90189<>99.31693<>175.8931<>236.6899<>281.2433<>329.9735<>375.9192<>418.6162<>437.1801<>491.4795<>523.0382
6,1,Temozolomide,Sytox Green<>42.2329<>89.57087<>148.9754<>219.5182<>286.8124<>327.653<>347.6092<>370.8141<>395.4113<>419.5444<>448.7825<>475.2361
7,1,Motesanib Diphosphate (AMG-706),Sytox Green<>24.13308<>64.50959<>99.31693<>138.7652<>177.2854<>210.7004<>220.4464<>236.6899<>256.182<>266.3921<>287.2765<>308.1609
8,1,Dienogest,Sytox Green<>30.16636<>67.75828<>107.2066<>155.9368<>208.3799<>241.3308<>268.7126<>299.343<>324.4043<>329.0453<>353.6425<>367.1013
9,1,STF-62247,Sytox Green<>43.16109<>586.1555<>988.5283<>1385.332<>1602.53<>1738.046<>1786.776<>1810.445<>1820.191<>1840.148<>1878.204<>1961.741
10,1,Celecoxib,Sytox Green<>50.12256<>79.82481<>96.99644<>137.3729<>171.7162<>206.5235<>234.3694<>260.8229<>271.9613<>293.7739<>302.5917<>324.4043
11,1,Y-27632 2HCl,Sytox Green<>41.7688<>89.10677<>135.0524<>207.9158<>268.2485<>301.1995<>336.0068<>348.5374<>368.9577<>385.2011<>408.406<>421.8649
12,1,Adapalene,Sytox Green<>29.70226<>77.50433<>129.9474<>200.9543<>266.8562<>316.0506<>350.8579<>374.5269<>394.019<>411.6547<>429.7545<>441.8211
13,1,Masitinib (AB1010),Sytox Green<>34.34324<>225.5515<>290.9893<>381.9525<>458.9927<>523.0382<>558.3096<>588.476<>607.9681<>621.891<>627.9243<>649.7369
14,1,Budesonide,Sytox Green<>41.3047<>70.07877<>101.6374<>155.4727<>203.7389<>242.7231<>268.2485<>290.5252<>294.238<>314.1942<>335.0786<>344.8246
15,1,ZSTK474,Sytox Green<>52.44305<>135.0524<>263.1434<>387.0575<>452.0312<>501.6897<>534.1765<>559.7019<>564.807<>597.2938<>641.3831<>666.9085
16,1,Floxuridine,Sytox Green<>40.8406<>77.04023<>121.5936<>207.9158<>275.21<>316.5147<>361.0681<>372.6705<>391.6985<>416.2957<>437.6442<>456.2081
17,1,Belinostat (PXD101),Sytox Green<>29.23816<>71.00696<>164.2906<>325.7966<>481.2694<>602.863<>699.3953<>798.7123<>869.7192<>934.6929<>990.8488<>1004.308
18,1,Costunolide,Sytox Green<>31.55865<>47.33797<>69.15057<>92.81956<>117.8808<>155.4727<>185.6391<>201.4184<>230.6566<>250.6128<>281.2433<>310.0173
19,1,LAQ824 (Dacinostat),Sytox Green<>58.01222<>104.8861<>180.534<>371.2782<>557.3814<>707.285<>838.6247<>945.3671<>1043.756<>1094.343<>1131.006<>1148.178
20,1,Flumazenil,Sytox Green<>29.70226<>68.22237<>119.2731<>173.5726<>232.0489<>264.5357<>278.4586<>310.0173<>331.8299<>342.9683<>371.7423<>401.9087
21,1,GDC-0879,Sytox Green<>38.05602<>79.36072<>112.7758<>161.9701<>200.9543<>232.513<>255.2538<>266.8562<>274.2818<>271.4972<>278.9228<>290.5252
22,1,Granisetron HCl,Sytox Green<>28.30996<>77.96842<>129.4833<>209.3081<>281.2433<>332.7581<>368.9577<>394.019<>414.9034<>446.4621<>468.2747<>493.8
23,1,4mu8C,Sytox Green<>44.55339<>71.93516<>103.0297<>138.7652<>183.3186<>219.9823<>243.6513<>265.928<>284.4919<>294.238<>310.9455<>315.1224
